season,data_source,essence_category,respiratory_category,visit_type,demographic_category,demographic_group,percent
2022-2023,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Hispanic or Latino,0
2022-2023,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Race/Ethnicity,White Non-Hispanic,0
2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,65+,0.01
2018-2019,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,00_04,0.01
2022-2023,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,05_17,0
2019-2020,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,05_17,0
2022-2023,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,00_04,0
2017-2018,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Asian Non-Hispanic,0
2022-2023,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01
2021-2022,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Black Non-Hispanic,0
2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0
2019-2020,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,65+,0
2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,65+,0
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,65+,0
2022-2023,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,ALL,ALL,0.03
2020-2021,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Age Group,00_04,0.05
2016-2017,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,05_17,0
2021-2022,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0
2015-2016,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0
2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Other Race/Ethnicity,0.01
2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.03
2022-2023,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,Admissions,Race/Ethnicity,Other Race/Ethnicity,0
2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,45_64,0
2016-2017,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,65+,0
2019-2020,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,Admissions,Age Group,00_04,0
2017-2018,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0
2018-2019,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,45_64,0.01
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Hispanic or Latino,0
2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,Age Unknown,0
2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,65+,0.01
2023-2024,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Asian Non-Hispanic,0.01
2017-2018,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,05_17,0.01
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Age Group,45_64,0.2
2022-2023,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,ALL,ALL,0
2021-2022,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.07
2019-2020,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,65+,0
2015-2016,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,Other Race/Ethnicity,0.06
2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Other Race/Ethnicity,0
2017-2018,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,65+,0
2022-2023,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,18_44,0
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.13
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,Hispanic or Latino,0.23
2023-2024,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Hispanic or Latino,0.04
2022-2023,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,White Non-Hispanic,0
2015-2016,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Asian Non-Hispanic,0
2015-2016,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,ALL,ALL,0.05
2022-2023,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,White Non-Hispanic,0
2016-2017,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Hispanic or Latino,0
2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,65+,0
2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08
2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,05_17,0.04
2022-2023,ESSENCE,Influenza-like Illness,ILI,Admissions,ALL,ALL,0
2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,Age Unknown,0
2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,65+,0
2023-2024,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,18_44,0.08
2023-2024,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,Age Unknown,0
2021-2022,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,65+,0
2023-2024,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Age Group,65+,0.21
2018-2019,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Age Group,00_04,0.1
2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.01
2017-2018,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,65+,0.08
2021-2022,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01
2015-2016,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,White Non-Hispanic,0.07
2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,05_17,0.03
2021-2022,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,Admissions,Race/Ethnicity,White Non-Hispanic,0
2023-2024,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Hispanic or Latino,0
2015-2016,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,45_64,0
2023-2024,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,18_44,0
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,18_44,0.06
2021-2022,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,Admissions,Age Group,00_04,0
2022-2023,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,18_44,0.01
2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,Black Non-Hispanic,0.01
2023-2024,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Asian Non-Hispanic,0.01
2023-2024,ILINet,Not Applicable,ILI,Outpatient Visits,ALL,ALL,0.02
2021-2022,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Black Non-Hispanic,0.18
2020-2021,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Age Group,18_44,0
2023-2024,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,65+,0.01
2015-2016,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,18_44,0
2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,Black Non-Hispanic,0.02
2021-2022,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,Age Unknown,0
2023-2024,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,Age Unknown,0.33
2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05
2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,ALL,ALL,0.01
2022-2023,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01
2015-2016,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,Asian Non-Hispanic,0.05
2015-2016,ILINet,Not Applicable,ILI,Outpatient Visits,ALL,ALL,0.03
2015-2016,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Hispanic or Latino,0
2018-2019,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,05_17,0.12
2022-2023,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,Age Unknown,0
2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Other Race/Ethnicity,0.04
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Age Group,18_44,0
2021-2022,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0
2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Asian Non-Hispanic,0.01
2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Black Non-Hispanic,0.19
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.12
2018-2019,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,65+,0
2017-2018,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,45_64,0.01
2020-2021,ILINet,Not Applicable,ILI,Outpatient Visits,ALL,ALL,0
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,White Non-Hispanic,0.02
2020-2021,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,00_04,0
2019-2020,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Age Group,18_44,0
2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.02
2020-2021,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,45_64,0
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0
2022-2023,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0
2015-2016,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,00_04,0.23
2022-2023,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Asian Non-Hispanic,0.01
2021-2022,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,Age Unknown,0
2019-2020,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,ALL,ALL,0
2015-2016,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,Black Non-Hispanic,0.05
2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,ALL,ALL,0.02
2015-2016,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,White Non-Hispanic,0
2021-2022,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Age Group,05_17,0.01
2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Black Non-Hispanic,0.01
2023-2024,ILINet,Not Applicable,ILI,Outpatient Visits,ALL,ALL,0.01
2023-2024,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.14
2015-2016,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,Other Race/Ethnicity,0.09
2020-2021,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.04
2017-2018,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.01
2016-2017,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,05_17,0.14
2016-2017,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,ALL,ALL,0
2020-2021,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,Admissions,Age Group,18_44,0
2015-2016,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,05_17,0
2022-2023,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.01
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Race/Ethnicity,Hispanic or Latino,0
2020-2021,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Age Group,Age Unknown,0
2021-2022,ESSENCE,Influenza-like Illness,ILI,Admissions,ALL,ALL,0
2018-2019,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,65+,0
2023-2024,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,05_17,0.01
2021-2022,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,18_44,0.07
2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,65+,0
2022-2023,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Other Race/Ethnicity,0.01
2020-2021,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0
2020-2021,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,45_64,0
2020-2021,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,ALL,ALL,0
2020-2021,ESSENCE,Influenza-like Illness,ILI,ED Visits,ALL,ALL,0.01
2018-2019,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,00_04,0
2020-2021,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,Admissions,Age Group,65+,0
2023-2024,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Hispanic or Latino,0.17
2021-2022,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,00_04,0
2016-2017,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,Other Race/Ethnicity,0.08
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.18
2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Black Non-Hispanic,0.03
2020-2021,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,45_64,0.1
2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Hispanic or Latino,0.05
2023-2024,ESSENCE,Influenza-like Illness,ILI,ED Visits,ALL,ALL,0.02
2022-2023,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Hispanic or Latino,0
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,Age Unknown,0
2015-2016,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,Asian Non-Hispanic,0.09
2022-2023,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,45_64,0
2020-2021,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,05_17,0
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Age Group,45_64,0
2023-2024,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,Admissions,Age Group,Age Unknown,0
2020-2021,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,ALL,ALL,0
2018-2019,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,65+,0.01
2021-2022,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Age Group,45_64,0.14
2017-2018,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Hispanic or Latino,0
2022-2023,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,ALL,ALL,0.11
2021-2022,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.06
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Race/Ethnicity,Other Race/Ethnicity,0
2022-2023,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,ALL,ALL,0
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.16
2021-2022,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0
2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,ALL,ALL,0
2022-2023,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,White Non-Hispanic,0.01
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,Age Unknown,0
2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,ALL,ALL,0.01
2023-2024,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,45_64,0.01
2022-2023,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,White Non-Hispanic,0
2021-2022,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,ALL,ALL,0
2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,Age Unknown,0
2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,45_64,0.02
2018-2019,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,00_04,0.01
2020-2021,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0
2022-2023,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,ALL,ALL,0.13
2018-2019,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,65+,0
2021-2022,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,Admissions,Age Group,45_64,0
2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,05_17,0.02
2023-2024,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Age Group,Age Unknown,0
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Hispanic or Latino,0.03
2023-2024,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,Age Unknown,0
2022-2023,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Race/Ethnicity,White Non-Hispanic,0
2023-2024,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,Other Race/Ethnicity,0
2017-2018,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,Black Non-Hispanic,0.13
2015-2016,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,00_04,0
2021-2022,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.14
2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,White Non-Hispanic,0.03
2018-2019,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,05_17,0
2015-2016,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0
2019-2020,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,45_64,0
2022-2023,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Race/Ethnicity,Asian Non-Hispanic,0
2021-2022,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,Hispanic or Latino,0
2021-2022,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,Other Race/Ethnicity,0
2022-2023,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,45_64,0
2021-2022,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,05_17,0.1
2017-2018,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,White Non-Hispanic,0
2015-2016,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,White Non-Hispanic,0.05
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,Age Unknown,0
2023-2024,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,ALL,ALL,0.14
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,White Non-Hispanic,0.08
2015-2016,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,45_64,0
2020-2021,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,45_64,0
2016-2017,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,Age Unknown,0
2020-2021,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,Admissions,Race/Ethnicity,Black Non-Hispanic,0
2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.01
2020-2021,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Age Group,00_04,0
2017-2018,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,18_44,0.02
2018-2019,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Race/Ethnicity,White Non-Hispanic,0.08
2021-2022,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Age Group,45_64,0
2020-2021,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,White Non-Hispanic,0
2021-2022,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Black Non-Hispanic,0.01
2016-2017,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Race/Ethnicity,White Non-Hispanic,0
2022-2023,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,05_17,0
2020-2021,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Age Group,05_17,0
2022-2023,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Asian Non-Hispanic,0.01
2015-2016,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,White Non-Hispanic,0
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0
2019-2020,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,ALL,ALL,0
2020-2021,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Hispanic or Latino,0.12
2017-2018,ILINet,Not Applicable,ILI,Outpatient Visits,ALL,ALL,0.01
2020-2021,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Age Group,45_64,0
2016-2017,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,Age Unknown,0
2022-2023,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.04
2023-2024,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,05_17,0.04
2022-2023,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,65+,0
2021-2022,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Asian Non-Hispanic,0
2019-2020,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Hispanic or Latino,0
2019-2020,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,Other Race/Ethnicity,0.01
2023-2024,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Age Group,Age Unknown,0
2020-2021,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,ED Visits,Age Group,18_44,0
2019-2020,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,65+,0.02
2023-2024,ESSENCE,Influenza-like Illness,ILI,Admissions,Age Group,45_64,0
2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,65+,0.02
2021-2022,ESSENCE,Influenza-like Illness,ILI,Admissions,Race/Ethnicity,White Non-Hispanic,0
2022-2023,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Age Group,Age Unknown,1
2021-2022,ESSENCE,CDC Respiratory Syncytial Virus DD v1,RSV,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.01
2022-2023,ESSENCE,CDC Influenza DD v1,Influenza,Admissions,Age Group,65+,0
2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Race/Ethnicity,White Non-Hispanic,0.01
2023-2024,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,ED Visits,Age Group,65+,0.1
2021-2022,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.08
2019-2020,ESSENCE,CDC Influenza DD v1,Influenza,ED Visits,Race/Ethnicity,Asian Non-Hispanic,0.06
2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,ALL,ALL,0.02
2019-2020,ESSENCE,CDC Broad Acute Respiratory DD v1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.02
